BASLIK;MARKA;MODEL;TEMEL OZELLIKLER - Seri;TEMEL OZELLIKLER - Donanim Paketi;TEMEL OZELLIKLER - Model Yillari;TEMEL OZELLIKLER - Ait Oldugu Ulke;TEMEL OZELLIKLER - Model Yili;TEMEL OZELLIKLER - Yakit Turu;TEMEL OZELLIKLER - Arac Turu;TEMEL OZELLIKLER - Govde Tipi;TEMEL OZELLIKLER - Segment;TEMEL OZELLIKLER - Motor Tipi;TEMEL OZELLIKLER - Yakit Tipi;MOTOR (Icten Yanmali) - Besleme Tipi;MOTOR (Icten Yanmali) - Silindir Adedi;MOTOR (Icten Yanmali) - Silindir Hacmi;MOTOR (Icten Yanmali) - Yakit Puskurtme;MOTOR (Elektrikli) - Batarya Kapasitesi;MOTOR (Elektrikli) - Batarya Tipi;MOTOR (Elektrikli) - Menzil (WLTP - Birlesik);MOTOR (Elektrikli) - Menzil (WLTP - Sehir Ici);MOTOR (Elektrikli) - Motor Gucu;MOTOR (Elektrikli) - Ortalama Tuketim (Elk.);MOTOR (Elektrikli) - Sarj Suresi;EKONOMI - MTV;EKONOMI - Bakim Masrafi (Tahmini);PERFORMANS - Azami Hiz;PERFORMANS - Azami Tork;PERFORMANS - Beygir Gucu;PERFORMANS - 0 - 100 Km Hizlanma;AGIRLIK & OLCULER - Agirlik;AGIRLIK & OLCULER - Genislik;AGIRLIK & OLCULER - Uzunluk;AGIRLIK & OLCULER - Yukseklik;BAGAJ OZELLIKLERI - Bagaj Hacmi (5 Koltuk);BAGAJ OZELLIKLERI - Bagaj Hacmi (2 Koltuk);DIS GOVDE - Kapi Sayisi;LASTIK & JANT - Lastik Ebatlari;LASTIK & JANT - Taban Genisligi;LASTIK & JANT - Kesit Orani;LASTIK & JANT - Jant Capi;SANZIMAN & CEKIS SISTEMI - Cekis;SANZIMAN & CEKIS SISTEMI - Cekis Kontrol Sistemi;SANZIMAN & CEKIS SISTEMI - Sanziman Turu;SANZIMAN & CEKIS SISTEMI - Sanziman Kademesi;SANZIMAN & CEKIS SISTEMI - Sanziman Modeli;YAKIT TUKETIMI & EMISYON - Emisyon Standardi;YAKIT TUKETIMI & EMISYON - Ortalama Emisyon;YAKIT TUKETIMI & EMISYON - Ortalama Y.Tuketimi (100 km);YAKIT TUKETIMI & EMISYON - Sehir Disi Tuketim (100 km);YAKIT TUKETIMI & EMISYON - Sehir Ici Tuketim (100 km);YAKIT TUKETIMI & EMISYON - Yakit Kapasitesi (lt);YOLCU EMNIYETI - Hava Yastigi Adedi;YOLCU EMNIYETI - NCAP/ANCAP Adedi;GOSTERGELER & SENSORLER - Far Sensoru;GOSTERGELER & SENSORLER - Lastik Basinc Sensoru;GOSTERGELER & SENSORLER - Park Sensoru & Yardimi;GOSTERGELER & SENSORLER - Yagmur Sensoru;ISITMA & SOGUTMA - Klima;KOLTUKLAR & IC DOSEME - Koltuk Dosemesi Tipi;KOLTUKLAR & IC DOSEME - Koltuk Sayisi;KOLTUKLAR & IC DOSEME - Surucu Koltugu Ayarlari;KOLTUKLAR & IC DOSEME - On Yolcu Koltugu Ayarlari;LAMBALAR & AYDINLATMA - Far Tipi;LAMBALAR & AYDINLATMA - Sis Farlari
Citroen Ami One Electric 8 HP;Citroen;Ami One Electric;Ami One;My Ami Pop;;Fransa;2024;Elektrik;Binek;Mini Elektrik;A;BEV (Elektrikli);Elektrik;Elektrik;Elektrik;Elektrik;Elektrik;5.5 kW/sa;Lityum Iyon;75;75;6;10.0;4 Saat;1.207;;45;40;8;-;471;1360;2410;1525;63;Koltuklar Katlanmıyor;2;155/65 R14;155;65%;14;Onden Cekisli;Yok;Otomatik;Şanzıman Bulunmuyor;Şanzıman Bulunmuyor;Emisyon Yok;Emisyon Yok;NaN;NaN;NaN;NaN;0;2;YOK;Var;Yok;Yok;Yok; Kumas;2; Manuel; Manuel;LED;Var
Fiat Topolino 8.2 HP;Fiat;Topolino;Topolino;Topolino;;Italya;2024;Elektrik;Binek;Mini Elektrik;A;BEV (Elektrikli);Elektrik;Elektrik;Elektrik;Elektrik;Elektrik;5.5 kWh;Lityum Iyon;75;75;6;8.0;4 Saatte %100 Sarj (Standart Elektrik Prizi Ile);1.207;;45;45;8;-;487;1400;2535;1530;63;Koltuklar Katlanmıyor;2;145/70 R14;145;70%;14;Onden Cekisli;Yok;Otomatik;Şanzıman Bulunmuyor;Şanzıman Bulunmuyor;Emisyon Yok;Emisyon Yok;NaN;NaN;NaN;NaN;0;2;YOK;Var;Yok;Yok;Yok; Deri;2; Manuel; Manuel;LED;Var
Fiat Topolino Plus 8.2 HP;Fiat;Topolino Plus;Topolino;Topolino Plus;;Italya;2024;Elektrik;Binek;Mini Elektrik;A;BEV (Elektrikli);Elektrik;Elektrik;Elektrik;Elektrik;Elektrik;5.5 kWh;Lityum Iyon;75;75;6;8.0;4 Saatte %100 Sarj (Standart Elektrik Prizi Ile);1.207;;45;45;8;-;487;1400;2535;1530;63;Koltuklar Katlanmıyor;2;145/70 R14;145;70%;14;Onden Cekisli;Yok;Otomatik;Şanzıman Bulunmuyor;Şanzıman Bulunmuyor;Emisyon Yok;Emisyon Yok;NaN;NaN;NaN;NaN;0;2;YOK;Var;Yok;Yok;Yok; Deri;2; Manuel; Manuel;LED;Var
Audi R8 Coupe 4.2 FSI 425 HP V8 Quattro (4x4);Audi;R8 Coupe;R8 Coupe;Standart;;Almanya;2015;Fosil Yakıt;Binek;Coupe;S;Icten Yanmali (Standart);Benzin;Turbo;8;4163;Cok Noktadan Enjeksiyon;NaN;NaN;NaN;NaN;NaN;NaN;NaN;85.377;;302;430;425;4.6;1635;1904;4431;1252;100;Koltuklar Katlanmıyor;3;235/40 R18;235;40%;18;4x4 Cekisli;Var;Manuel;6 ileri;Manuel;EURO 5;332;16.29;10.00;21.30;75;4;Test Edilmemiş;Yok;Yok;Var;Yok;Otomatik Klima;Deri;2;Elektronik;Elektronik; Xenon; Var
Lamborghini Huracan LP 610-4 5.2L 610 HP (4x4);Lamborghini;Huracan Lp 610-4 5.2L;Huracan;Standart;;Italya;2016;Fosil Yakıt;Binek;Coupe;S;Icten Yanmali (Standart);Benzin;Atmosferik;10;5204;Cok Noktadan Enjeksiyon;NaN;NaN;NaN;NaN;NaN;NaN;NaN;85.377;;325;560;610;3.2;1422;1924;4459;1165;100;Koltuklar Katlanmıyor;3;245/30 R20;245;30%;20;4x4 Cekisli;Var;Otomatik;7 ileri;LDF (Lamborghini Otm.);EURO 6;290;14.13;9.40;17.80;90;4;Test Edilmemiş;Yok;Var;Yok;Yok;Otomatik Klima;Deri;2;Elektronik;Elektronik; LED; Var
Porsche 918 Spyder Hibrit 4.6 887 HP PDK (4x4);Porsche;918 Spyder;918 Spyder;Standart;;Almanya;2016;Fosil Yakıt;Binek;Roadster;S;HEV (Benzinli & Elektrikli);Benzin & Elektrik;Atmosferik;8;4590;DFI (Dogrudan Yakit Enjeksiyonu);NaN;NaN;NaN;NaN;NaN;NaN;NaN;85.377;;345;1280;887;2.6;1685;1940;4643;1167;100;Koltuklar Katlanmıyor;3;265/35 R20;265;35%;20;4x4 Cekisli;Var;Otomatik;7 ileri;PDK;EURO 6;72;3.14;3.00;3.10;70;6;Test Edilmemiş;VAR;Var;Var;Var;Otomatik Klima;Deri;2;Elektronik;Manuel; LED; Var
Lamborghini Aventador LP 700-4 Roadster 6.5L V12 700 HP (4x4);Lamborghini;Aventador Lp 700-4 Roadster 6.5L V12;Aventador;Standart;;Italya;2016;Fosil Yakıt;Binek;Cabrio;S;Icten Yanmali (Standart);Benzin;Atmosferik;12;6498;Cok Noktadan Enjeksiyon;NaN;NaN;NaN;NaN;NaN;NaN;NaN;85.377;;350;690;700;3.0;1625;2030;4780;1136;140;Koltuklar Katlanmıyor;3;255/35 R19;255;35%;19;4x4 Cekisli;Var;Otomatik;7 ileri;LDF (Lamborghini Otm.);EURO 6;370;18.44;10.70;24.70;90;6;Test Edilmemiş;Yok;Var;Yok;Yok;Otomatik Klima;Deri;2;Elektronik;Elektronik; LED; Var
Porsche 911 Carrera 4 3.5 350 HP (4x4);Porsche;911 Carrera 4;911;Standart;;Almanya;2015;Fosil Yakıt;Binek;Coupe;S;Icten Yanmali (Standart);Benzin;Atmosferik;6;3436;Cok Noktadan Enjeksiyon;NaN;NaN;NaN;NaN;NaN;NaN;NaN;40.486;;285;390;350;4.9;1430;1852;4491;1304;125;Koltuklar Katlanmıyor;3;205/55 R15;205;55%;15;4x4 Cekisli;Var;Manuel;7 ileri;Manuel;EURO 5;218;10.54;7.40;12.90;68;8;Test Edilmemiş;Yok;Yok;Yok;Yok;Otomatik Klima;Kumas & Deri;4;Elektronik;Elektronik; LED; Var
Porsche 911 Carrera 4 3.0 370 PS PDK (4x4);Porsche;911 Carrera 4;911;Standart;;Almanya;2016;Fosil Yakıt;Binek;Coupe;S;Icten Yanmali (Standart);Benzin;Cift Turbo;6;2981;DFI (Dogrudan Yakit Enjeksiyonu);NaN;NaN;NaN;NaN;NaN;NaN;NaN;26.654;;290;390;370;4.3;1575;1852;4499;1295;145;Koltuklar Katlanmıyor;3;235/40 R19;235;40%;19;4x4 Cekisli;Var;Otomatik;7 ileri;PDK;EURO 6;177;8.50;6.30;10.10;68;6;Test Edilmemiş;Var;Var;Var;Var;Otomatik Klima;Deri;4;Elektronik;Elektronik; LED; Var
Porsche 911 Carrera 4 3.0 370 PS (4x4);Porsche;911 Carrera 4;911;Standart;;Almanya;2016;Fosil Yakıt;Binek;Coupe;S;Icten Yanmali (Standart);Benzin;Cift Turbo;6;2981;DFI (Dogrudan Yakit Enjeksiyonu);NaN;NaN;NaN;NaN;NaN;NaN;NaN;26.654;;292;390;370;4.5;1555;1852;4499;1295;145;Koltuklar Katlanmıyor;3;235/40 R19;235;40%;19;4x4 Cekisli;Var;Manuel;7 ileri;Manuel;EURO 6;201;9.82;6.70;12.20;68;6;Test Edilmemiş;Var;Var;Var;Var;Otomatik Klima;Deri;4;Elektronik;Elektronik; LED; Var
Porsche 911 Carrera 4S Cabriolet 3.0 420 PS PDK (4x4);Porsche;911 Carrera 4S Cabriolet;911;Standart;;Almanya;2016;Fosil Yakıt;Binek;Cabrio;S;Icten Yanmali (Standart);Benzin;Cift Turbo;6;2981;DFI (Dogrudan Yakit Enjeksiyonu);NaN;NaN;NaN;NaN;NaN;NaN;NaN;26.654;;301;440;420;4.2;1655;1852;4499;1293;145;Koltuklar Katlanmıyor;3;245/35 R20;245;35%;20;4x4 Cekisli;Var;Otomatik;7 ileri;PDK;EURO 6;184;8.86;6.70;10.40;67;6;Test Edilmemiş;Var;Var;Var;Var;Otomatik Klima;Deri;4;Elektronik;Elektronik; LED; Var
Porsche 911 Carrera 4S 3.0 420 PS PDK (4x4);Porsche;911 Carrera 4S;911;Standart;;Almanya;2016;Fosil Yakıt;Binek;Coupe;S;Icten Yanmali (Standart);Benzin;Cift Turbo;6;2981;DFI (Dogrudan Yakit Enjeksiyonu);NaN;NaN;NaN;NaN;NaN;NaN;NaN;26.654;;303;440;420;4.0;1510;1852;4499;1298;145;Koltuklar Katlanmıyor;3;245/35 R20;245;35%;20;4x4 Cekisli;Var;Otomatik;7 ileri;PDK;EURO 6;180;8.81;6.60;10.40;67;6;Test Edilmemiş;Var;Var;Var;Var;Otomatik Klima;Deri;4;Elektronik;Elektronik; LED; Var
Porsche 911 Carrera 4S Cabriolet 3.0 420 PS (4x4);Porsche;911 Carrera 4S Cabriolet;911;Standart;;Almanya;2016;Fosil Yakıt;Binek;Cabrio;S;Icten Yanmali (Standart);Benzin;Cift Turbo;6;2981;DFI (Dogrudan Yakit Enjeksiyonu);NaN;NaN;NaN;NaN;NaN;NaN;NaN;26.654;;303;440;420;4.4;1635;1852;4499;1293;145;Koltuklar Katlanmıyor;3;245/35 R20;245;35%;20;4x4 Cekisli;Var;Manuel;7 ileri;Manuel;EURO 6;208;10.08;6.80;12.60;67;6;Test Edilmemiş;Var;Var;Var;Var;Otomatik Klima;Deri;4;Elektronik;Elektronik; LED; Var
Porsche 911 Carrera 4S 3.0 420 PS (4x4);Porsche;911 Carrera 4S;911;Standart;;Almanya;2016;Fosil Yakıt;Binek;Coupe;S;Icten Yanmali (Standart);Benzin;Cift Turbo;6;2981;DFI (Dogrudan Yakit Enjeksiyonu);NaN;NaN;NaN;NaN;NaN;NaN;NaN;26.654;;305;440;420;4.2;1490;1852;4499;1298;145;Koltuklar Katlanmıyor;3;245/35 R20;245;35%;20;4x4 Cekisli;Var;Manuel;7 ileri;Manuel;EURO 6;204;9.97;6.80;12.40;67;6;Test Edilmemiş;Var;Var;Var;Var;Otomatik Klima;Deri;4;Elektronik;Elektronik; LED; Var
Mazda MX-5 1.5 SKY-G 131 BG Motion;Mazda;Mx-5;MX-5;Motion;;Japonya;2016;Fosil Yakıt;Binek;Roadster;S;Icten Yanmali (Standart);Benzin;Turbo;4;1496;Direkt Enjeksiyon;NaN;NaN;NaN;NaN;NaN;NaN;NaN;3.661;;204;150;131;8.3;1050;1735;3915;1225;130;Koltuklar Katlanmıyor;3;195/50 R16;195;50%;16;Arkadan Itisli;Var;Manuel;6 ileri;Manuel;EURO 6;139;6.64;4.90;7.90;45;4;4;Yok;Var;Yok;Yok;Manuel Klima;Kumas;2;Manuel;Manuel; LED; Var
Mazda MX-5 1.5 SKY-G 131 BG Power;Mazda;Mx-5;MX-5;Power;;Japonya;2016;Fosil Yakıt;Binek;Roadster;S;Icten Yanmali (Standart);Benzin;Turbo;4;1496;Direkt Enjeksiyon;NaN;NaN;NaN;NaN;NaN;NaN;NaN;3.661;;204;150;131;8.3;1050;1735;3915;1225;130;Koltuklar Katlanmıyor;3;195/50 R16;195;50%;16;Arkadan Itisli;Var;Manuel;6 ileri;Manuel;EURO 6;139;6.64;4.90;7.90;45;4;4;Var;Var;Var;Var;Otomatik Klima;Deri;2;Manuel;Manuel; LED; Var
Mazda MX-5 1.5 SKY-G 131 BG Power Sense;Mazda;Mx-5;MX-5;Power Sense;;Japonya;2016;Fosil Yakıt;Binek;Roadster;S;Icten Yanmali (Standart);Benzin;Turbo;4;1496;Direkt Enjeksiyon;NaN;NaN;NaN;NaN;NaN;NaN;NaN;3.661;;204;150;131;8.3;1050;1735;3915;1225;130;Koltuklar Katlanmıyor;3;195/50 R16;195;50%;16;Arkadan Itisli;Var;Manuel;6 ileri;Manuel;EURO 6;139;6.64;4.90;7.90;45;4;4;Var;Var;Var;Var;Otomatik Klima;Deri;2;Manuel;Manuel; LED; Var
Mazda MX-5 2.0 SKY-G 160 BG Power Sense;Mazda;Mx-5;MX-5;Power Sense;;Japonya;2016;Fosil Yakıt;Binek;Roadster;S;Icten Yanmali (Standart);Benzin;Turbo;4;1998;Direkt Enjeksiyon;NaN;NaN;NaN;NaN;NaN;NaN;NaN;10.613;;214;200;160;7.3;1090;1735;3915;1225;130;Koltuklar Katlanmıyor;3;205/45 R17;205;45%;17;Arkadan Itisli;Var;Manuel;6 ileri;Manuel;EURO 6;154;7.31;5.40;8.70;45;4;4;Var;Var;Var;Var;Otomatik Klima;Deri;2;Manuel;Manuel; LED; Var
Porsche 911 Carrera 4 Cabriolet 3.5 350 HP Otomatik (4x4);Porsche;911 Carrera 4 Cabriolet;911;Standart;;Almanya;2015;Fosil Yakıt;Binek;Cabrio;S;Icten Yanmali (Standart);Benzin;Atmosferik;6;3436;Cok Noktadan Enjeksiyon;NaN;NaN;NaN;NaN;NaN;NaN;NaN;40.486;;280;390;350;4.9;1520;1808;4491;1303;125;Koltuklar Katlanmıyor;3;235/40 R19;235;40%;19;4x4 Cekisli;Var;Otomatik;7 ileri;PDK;EURO 5;202;9.70;6.90;11.80;68;8;Test Edilmemiş;Yok;Yok;Yok;Yok;Otomatik Klima;Kumas & Deri;4;Elektronik;Elektronik; LED; Var
